Longitude,Latitude,name
-38.706389,-9.916944,Cenostigma pyramidale
-38.82075,-4.243483,Cenostigma pyramidale
-37.195444,-8.53075,Cenostigma pyramidale
-3.946111,-8.298333,Cenostigma pyramidale
-3.127778,-8.176944,Cenostigma pyramidale
-37.212963,-8.294907,Cenostigma pyramidale
-37.636112,-8.40787,Cenostigma pyramidale
-36.955343,-8.299749,Cenostigma pyramidale
-40.204031,-10.265588,Cenostigma pyramidale
-39.07086,-8.373843,Cenostigma pyramidale
-37.934275,-9.014175,Cenostigma pyramidale
-38.809444,-10.950556,Cenostigma pyramidale
-38.809444,-10.800556,Cenostigma pyramidale
-37.68556,-9.018723,Cenostigma pyramidale
-40.548892,-9.325007,Cenostigma pyramidale
-39.295033,-8.532457,Cenostigma pyramidale
-39.478889,-8.470278,Cenostigma pyramidale
-43.919722,-11.7,Cenostigma pyramidale
-45.001667,-11.7,Cenostigma pyramidale
-44.459722,-11.34,Cenostigma pyramidale
-43.075556,-8.182778,Cenostigma pyramidale
-36.890833,-7.466389,Cenostigma pyramidale
-37.325833,-8.465833,Cenostigma pyramidale
-37.321944,-9.252778,Cenostigma pyramidale
-39.466667,-11.933333,Cenostigma pyramidale
-39.266667,-11.55,Cenostigma pyramidale
-37.521944,-5.041667,Cenostigma pyramidale
-46.976389,-7.28,Cenostigma pyramidale
-43.456389,-4.749167,Cenostigma pyramidale
-41.370833,-13.005278,Cenostigma pyramidale
11,-11,Cenostigma pyramidale
-38.955,-11.334722,Cenostigma pyramidale
-37.278056,-9.917222,Cenostigma pyramidale
-35.971944,-7.280278,Cenostigma pyramidale
-44.280556,-7.200278,Cenostigma pyramidale
-38.383056,-3.424722,Cenostigma pyramidale
-44.766667,-3.410833,Cenostigma pyramidale
-37.486883,-10.191128,Cenostigma pyramidale
-37.018226,-8.431493,Cenostigma pyramidale
-39.556111,-10.208333,Cenostigma pyramidale
-42.498611,-13.1425,Cenostigma pyramidale
-39.168333,-9.594722,Cenostigma pyramidale
-40.966667,-9.15,Cenostigma pyramidale
-39.106389,-10.120278,Cenostigma pyramidale
-35.018889,-6.368056,Cenostigma pyramidale
-41.762833,-10.357138,Cenostigma pyramidale
-37.7904,-9.6514,Cenostigma pyramidale
-36.180002,-6.660002,Cenostigma pyramidale
-35.999999,-7.020008,Cenostigma pyramidale
-40.858841,-9.54455,Cenostigma pyramidale
-36.900278,-8.999444,Cenostigma pyramidale
-42.378889,-8.261389,Cenostigma pyramidale
-37.44,-7.74,Cenostigma pyramidale
-38.7,-7.74,Cenostigma pyramidale
-37.44,-7.919722,Cenostigma pyramidale
-38.690278,-8.344722,Cenostigma pyramidale
-39.660278,-11.45,Cenostigma pyramidale
-39.460278,-11.45,Cenostigma pyramidale
-45,-5.219722,Cenostigma pyramidale
-44.639722,-5.4,Cenostigma pyramidale
-44.819722,-10.62,Cenostigma pyramidale
-47.52,-5.4,Cenostigma pyramidale
-39.660278,-11.65,Cenostigma pyramidale
-43.15,-11.816667,Cenostigma pyramidale
-42.6,-11.816667,Cenostigma pyramidale
-43.74,-12.419722,Cenostigma pyramidale
-43.74,-5.22,Cenostigma pyramidale
-39.412222,-12.435556,Cenostigma pyramidale
-45,-10.44,Cenostigma pyramidale
-35.407222,-7.6275,Cenostigma pyramidale
-44.1,-13.32,Cenostigma pyramidale
-43.74,-10.8,Cenostigma pyramidale
-44.46,-11.15,Cenostigma pyramidale
-37.061944,-7.570278,Cenostigma pyramidale
-41.689444,-11.071389,Cenostigma pyramidale
-40.6,-12.5,Cenostigma pyramidale
-42.633889,-6.693611,Cenostigma pyramidale
-37.020742,-10.559258,Cenostigma pyramidale
-36.638361,-10.256222,Cenostigma pyramidale
-43.757594,-14.884167,Cenostigma pyramidale
-40.605278,-12.6625,Cenostigma pyramidale
-38.818056,-7.551639,Cenostigma pyramidale
12,-12.766667,Cenostigma pyramidale
-40.462908,-9.359536,Cenostigma pyramidale
-38.21025,-9.590555,Cenostigma pyramidale
-37.293889,-9.536111,Cenostigma pyramidale
-37.173889,-9.321111,Cenostigma pyramidale
13,-13,Cenostigma pyramidale
-38.674097,-9.676003,Cenostigma pyramidale
-38.173225,-9.976775,Cenostigma pyramidale
-37.698361,-9.579639,Cenostigma pyramidale
-39.04,-12.244167,Cenostigma pyramidale
-36.279172,-3.973889,Cenostigma pyramidale
-41.0835,-9.451,Cenostigma pyramidale
-39.04,-12.044167,Cenostigma pyramidale
-36.164444,-3.5825,Cenostigma pyramidale
-36.856667,-7.276389,Cenostigma pyramidale
-38.309167,-11.189722,Cenostigma pyramidale
-38.183333,-10.708333,Cenostigma pyramidale
-39.222222,-8.027778,Cenostigma pyramidale
