Longitude,Latitude,sp
-37.7904,-9.651399999999999,Cenostigma pyramidale
-36.180002,-6.6600019999999995,Cenostigma pyramidale
-35.999998999999995,-7.020008,Cenostigma pyramidale
-40.858841000000005,-9.54455,Cenostigma pyramidale
-36.900278,-8.999444,Cenostigma pyramidale
-42.378889,-8.261389000000001,Cenostigma pyramidale
-37.44,-7.739999999999998,Cenostigma pyramidale
-38.7,-7.74,Cenostigma pyramidale
-37.43999999999999,-7.919721999999998,Cenostigma pyramidale
-38.690278000000006,-8.344721999999999,Cenostigma pyramidale
-39.660278,-11.450000000000001,Cenostigma pyramidale
-39.46027800000001,-11.450000000000001,Cenostigma pyramidale
-39.66027799999999,-11.65,Cenostigma pyramidale
-43.15,-11.816667,Cenostigma pyramidale
-42.6,-11.816667,Cenostigma pyramidale
-43.74,-12.419722000000002,Cenostigma pyramidale
-39.412222,-12.435556,Cenostigma pyramidale
-44.1,-13.319999999999999,Cenostigma pyramidale
-43.74000000000001,-10.799999999999999,Cenostigma pyramidale
-37.061944,-7.570278,Cenostigma pyramidale
-41.689444,-11.071389000000002,Cenostigma pyramidale
-40.6,-12.499999999999998,Cenostigma pyramidale
-42.633889,-6.693611,Cenostigma pyramidale
-43.757594,-14.884167000000001,Cenostigma pyramidale
-40.605278,-12.662500000000001,Cenostigma pyramidale
-38.818056,-7.551639,Cenostigma pyramidale
-40.462908,-9.359536,Cenostigma pyramidale
-38.21025000000001,-9.590555000000002,Cenostigma pyramidale
-37.293889,-9.536111,Cenostigma pyramidale
-37.173889,-9.321111,Cenostigma pyramidale
-38.674097,-9.676003,Cenostigma pyramidale
-38.173225,-9.976775000000002,Cenostigma pyramidale
-37.698361,-9.579639,Cenostigma pyramidale
-41.083499999999994,-9.451,Cenostigma pyramidale
-36.856667,-7.276389000000002,Cenostigma pyramidale
-38.309167,-11.189722,Cenostigma pyramidale
-38.183333,-10.708333,Cenostigma pyramidale
-39.222221999999995,-8.027778,Cenostigma pyramidale
-39.5,-7.972222000000001,Cenostigma pyramidale
-39.142222000000004,-8.138333,Cenostigma pyramidale
-38.644444,-8.883055999999998,Cenostigma pyramidale
-38.644444,-8.649722,Cenostigma pyramidale
-38.34138900000001,-7.341667000000003,Cenostigma pyramidale
-44.333333,-13.666667,Cenostigma pyramidale
-38.341467,-7.924866999999999,Cenostigma pyramidale
-38.411167,-8.883110999999998,Cenostigma pyramidale
-37.822367,-7.9163000000000014,Cenostigma pyramidale
-40.472222,-8.472222,Cenostigma pyramidale
-39.138888,-9.361112,Cenostigma pyramidale
-43.32861100000001,-9.234722,Cenostigma pyramidale
-39.351389,-8.36,Cenostigma pyramidale
-39.211944,-8.211667,Cenostigma pyramidale
